Method,Name,Error,Occurrences
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/e6299c35-5888-45c0-ada7-5934353dbd81/agents/7a7cd3ca-3caf-4b7f-afc7-ddd4e3b58fc0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28766dddc0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/0be4b626-c1d1-4d5e-a6f1-cfb86aca7b5f/addresses/5222088b-0b2c-4277-a758-35fd3998c39c (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876ea8850>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/1a591b0f-f1ee-4812-88e9-fda7ff9503e6/addresses/da18e021-46c6-46c9-9bcd-c39caa874784 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28775f9220>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/61f5ebd7-d980-4588-aac6-48ad760d5caa/addresses/9e24ad29-6742-4d06-a568-e22dcb55531b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d3194c0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/cebd44b1-adf5-4fc7-b5da-22a24ce2df47/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288863bca0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/4f57f4a5-47eb-437d-adb1-4022668566fc (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889472ac0>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/d9f00d23-2283-4184-b3a4-ad372daf2ffc/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888e68cd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",45
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/59d06704-d429-4141-a039-53e7ce888bbc (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289dc06cd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/871ce121-7ce4-44b4-bdb0-e96f07a021e5 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d8acca0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/cebd44b1-adf5-4fc7-b5da-22a24ce2df47/addresses/f4e82c93-deb8-4767-85ba-2add1d84c880 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288be8b640>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/d19deab8-d83c-4dbf-816f-a26d8cf50b2d/agents/866dcf92-2123-4dac-ac4d-580986901fd3 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289da80ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/6733c98e-d79e-47f8-aab2-9092b44a5a69/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289e8015b0>: Failed to establish a new connection: [Errno 111] Connection refused'))",6
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c1b2ef4b-adfb-4a47-8c47-a2b736e701d3 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289e8febb0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/b7f59873-c13d-455f-bc47-880320c9b444/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877600e50>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/b773b1ec-7258-44b4-9c54-8ffa94a4734d/agents/05ba2e74-c8ae-4b5a-9107-91bc0d8ae411 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28768fea30>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
