Method,Name,Error,Occurrences
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c594460c-9a6c-42aa-bd8e-f8461491ad2a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07680790>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/afef4b5c-eea8-40b3-ad22-de8990854a74/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05f180a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",15
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/90227b72-cdb3-4bc4-8812-9f130a7911b7/addresses/c8aa3999-7709-4647-ad64-1c6e2e178b0b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af15dfd60>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/265de9a9-158f-434b-a95a-c0dac4abe451/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b066c0340>: Failed to establish a new connection: [Errno 111] Connection refused'))",12
POST,/support/v1/move-task-orders,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06523e20>: Failed to establish a new connection: [Errno 111] Connection refused'))",819
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/2df3981b-a2b0-4a82-b791-ba32ca22c240/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b078058e0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/2596cb7b-5c47-4c81-8e85-d4bdaa6e587e/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b040c3fd0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},412 Client Error: Precondition Failed for url: /prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},340
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/def381f9-8ecf-4c58-b1e1-ecca0c7fba3a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07bdb3a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",23
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/83c90d98-0828-4e35-a155-0f787d3f05c3/agents/68aef49d-0ce0-4f73-8f62-9ca791f59857 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07b35a60>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
